location,city,country,address,latitude,longitude,co2_kg,distance_km,plane trips_amount,train trips_amount,location,number,multiplication,Sum-CO2,
"Berlin,  Germany",Berlin, Germany,"Berlin, 10117, Germany",52.5170365,13.3888599,0,0,0,1,"Berlin,  Germany",62,0,960146.035,in kg
"Prague,  Czechia",Prague, Czechia,"Prague, Czechia",50.0596288,14.446459273258,16.921,565.936,0,1,"Prague,  Czechia",1,16.921,960.146035,in tonnes
"Copenhagen,  Denmark",Copenhagen, Denmark,"Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1357, Denmark",55.6867243,12.5700724,21.317,712.933,0,1,"Copenhagen,  Denmark",6,127.902,,
"Warsaw,  Poland",Warsaw, Poland,"Warsaw, Masovian Voivodeship, Poland",52.2319581,21.0067249,260.194,1035.725,1,0,"Warsaw,  Poland",3,780.582,,
"Vienna,  Austria",Vienna, Austria,"Vienna, Austria",48.2083537,16.3725042,262.407,1047.309,1,0,"Vienna,  Austria",6,1574.442,,
"Bratislava,  Slovakia",Bratislava, Slovakia,"Bratislava, Region of Bratislava, Slovakia",48.1516988,17.1093063,273.389,1104.811,1,0,"Bratislava,  Slovakia",1,273.389,,
"Amsterdam,  Netherlands",Amsterdam, Netherlands,"Amsterdam, North Holland, Netherlands, 1012JS, Netherlands",52.3727598,4.8936041,282.274,1151.332,1,0,"Amsterdam,  Netherlands",17,4798.658,,
"Brussels,  Belgium",Brussels, Belgium,"Brussels, City of Brussels, Brussels-Capital, Belgium",50.8465573,4.351697,310.536,1299.308,1,0,"Brussels,  Belgium",5,1552.68,,
"Bern,  Switzerland",Bern, Switzerland,"Bern, Bern-Mittelland administrative district, Bernese Mittelland administrative region, Bern, Switzerland",46.9482713,7.4514512,349.424,1502.922,1,0,"Bern,  Switzerland",1,349.424,,
"Stockholm,  Sweden",Stockholm, Sweden,"Stockholm, Stockholms kommun, Stockholm County, 111 29, Sweden",59.3251172,18.0710935,372.093,1621.611,1,0,"Stockholm,  Sweden",10,3720.93,,
"Oslo,  Norway",Oslo, Norway,"Oslo, Norway",59.9133301,10.7389701,382.641,1676.842,1,0,"Oslo,  Norway",5,1913.205,,
"Paris,  France",Paris, France,"Paris, Ile-de-France, Metropolitan France, France",48.8566969,2.3514616,397.138,1752.743,1,0,"Paris,  France",23,9134.174,,
"London,  United Kingdom",London, United Kingdom,"London, Greater London, England, United Kingdom",51.5073219,-0.1276474,417.799,1860.923,1,0,"London,  United Kingdom",36,15040.764,,
"Helsinki,  Finland",Helsinki, Finland,"Helsinki, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, Finland",60.1674881,24.9427473,461.989,2212.363,1,0,"Helsinki,  Finland",2,923.978,,
"Rome,  Italy",Rome, Italy,"Rome, Roma Capitale, Lazio, Italy",41.8933203,12.4829321,479.939,2366.52,1,0,"Rome,  Italy",30,14398.17,,
"Bucharest,  Romania",Bucharest, Romania,"Bucharest, Romania",44.4361414,26.1027202,505.929,2589.73,1,0,"Bucharest,  Romania",1,505.929,,
"Dublin,  Ireland",Dublin, Ireland,"Dublin, Dublin 1, Leinster, Ireland",53.3497645,-6.2602732,510.849,2631.983,1,0,"Dublin,  Ireland",1,510.849,,
"Athens,  Greece",Athens, Greece,"Athens, Municipality of Athens, Regional Unit of Central Athens, Attica, 10667, Greece",37.9839412,23.7283052,670.455,3606.336,1,0,"Athens,  Greece",4,2681.82,,
"Madrid,  Spain",Madrid, Spain,"Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28001, Spain",40.4167047,-3.7035825,693.272,3736.182,1,0,"Madrid,  Spain",31,21491.432,,
"Algiers,  Algeria",Algiers, Algeria,"Algiers, Central Algiers, Sidi M'Hamed District, Algiers, 16007, Algeria",36.7753606,3.0601882,714.046,3854.396,1,0,"Algiers,  Algeria",1,714.046,,
"Ankara,  Turkey",Ankara, Turkey,"Ankara, Çankaya, Ankara, Central Anatolia Region, 06420, Turkey",39.9207893,32.8540412,753.091,4076.59,1,0,"Ankara,  Turkey",4,3012.364,,
"Lisbon,  Portugal",Lisbon, Portugal,"Lisbon, Grande Lisboa, Área Metropolitana de Lisboa, Portugal",38.7077507,-9.1365919,849.411,4624.188,1,0,"Lisbon,  Portugal",8,6795.288,,
"Cairo,  Egypt",Cairo, Egypt,"Cairo, Cairo Governorate, Egypt",30.0443879,31.2357257,1055.792,5784.477,1,0,"Cairo,  Egypt",1,1055.792,,
"Jerusalem,  Israel",Jerusalem, Israel,"Jerusalem, Jerusalem Subdistrict, Jerusalem District, Israel",31.79592425,35.211980759695,1058.193,5797.974,1,0,"Jerusalem,  Israel",2,2116.386,,
"Baku,  Azerbaijan",Baku, Azerbaijan,"Baku, Absheron, Azerbaijan",40.3754434,49.8326748,1114.902,6116.798,1,0,"Baku,  Azerbaijan",1,1114.902,,
"Tehran,  Iran",Tehran, Iran,"Tehran, بخش مرکزی شهرستان تهران, Tehran County, Tehran Province, Iran",35.6892523,51.3896004,1240.218,7011.104,1,0,"Tehran,  Iran",1,1240.218,,
"Abuja,  Nigeria",Abuja, Nigeria,"Abuja, Municipal Area Council, Federal Capital Territory, 900001, Nigeria",9.0643305,7.4892974,1602.437,9722.278,1,0,"Abuja,  Nigeria",9,14421.933,,
"Islamabad,  Pakistan",Islamabad, Pakistan,"Islamabad, Islamabad Capital Territory, 44000, Pakistan",33.6938118,73.0651511,1680.963,10208.985,1,0,"Islamabad,  Pakistan",3,5042.889,,
"Addis Ababa,  Ethiopia",Addis Ababa, Ethiopia,"Addis Ababa, 1138, Ethiopia",9.0107934,38.7612525,1761.092,10705.627,1,0,"Addis Ababa,  Ethiopia",5,8805.46,,
"Accra,  Ghana",Accra, Ghana,"Accra, Korle-Klottey Municipal District, Greater Accra Region, Ghana",5.5571096,-0.2012376,1765.985,10735.954,1,0,"Accra,  Ghana",2,3531.97,,
"New Delhi,  India",New Delhi, India,"New Delhi, Delhi, India",28.6138954,77.2090057,1899.495,11563.453,1,0,"New Delhi,  India",60,113969.7,,
"Kampala,  Uganda",Kampala, Uganda,"Kampala, Central Region, Uganda",0.3177137,32.5813539,1993.39,12145.417,1,0,"Kampala,  Uganda",1,1993.39,,
"Ottawa,  Canada",Ottawa, Canada,"Ottawa, (Old) Ottawa, Ottawa, Eastern Ontario, Ontario, K2P 1B7, Canada",45.4121213,-75.6902639,2011.225,12255.956,1,0,"Ottawa,  Canada",14,28157.15,,
"Nairobi,  Kenya",Nairobi, Kenya,"Nairobi, Kenya",-1.30316895,36.8260612241051,2090.072,12744.648,1,0,"Nairobi,  Kenya",1,2090.072,,
"Kathmandu,  Nepal",Kathmandu, Nepal,"Kathmandu, Kamaladi Marg, Kamalpokhari, Baghbazar, Kathmandu, Bagmati Pradesh, 46600, Nepal",27.708317,85.3205817,2099.991,12806.132,1,0,"Kathmandu,  Nepal",2,4199.982,,
"Dodoma,  Tanzania",Dodoma, Tanzania,"Dodoma, Dodoma City, Dodoma, Central Zone, 1234, Tanzania",-6.1791181,35.7468174,2247.655,13721.352,1,0,"Dodoma,  Tanzania",8,17981.24,,
"Beijing,  China",Beijing, China,"Beijing, Dongcheng District, Beijing, 100010, China",39.906217,116.3912757,2407.998,14715.163,1,0,"Beijing,  China",1,2407.998,,
"Lilongwe,  Malawi",Lilongwe, Malawi,"Lilongwe, Central Region, Malawi, Malawi",-13.9875107,33.768144,2502.225,15299.183,1,0,"Lilongwe,  Malawi",1,2502.225,,
"Sri Jayawardenepura Kotte,  Sri Lanka",Sri Jayawardenepura Kotte, Sri Lanka,"Sri Jayawardenepura Kotte, Colombo District, Western Province, 10120, Sri Lanka",6.8883219,79.9187415,2559.12,15651.816,1,0,"Sri Jayawardenepura Kotte,  Sri Lanka",1,2559.12,,
"Washington,  United States",Washington, United States,"Washington, D.C., Cypress Gardens, Polk County, Florida, United States",27.99124005,-81.6909167645698,2582.912,15799.282,1,0,"Washington,  United States",106,273788.672,,
"Port-au-Prince,  Haiti",Port-au-Prince, Haiti,"Port-au-Prince, West, Haiti",18.547327,-72.3395928,2646.648,16194.318,1,0,"Port-au-Prince,  Haiti",1,2646.648,,
"Hanoi,  Vietnam",Hanoi, Vietnam,"Hanoi, Vietnam",21.0294498,105.8544441,2721.688,16659.416,1,0,"Hanoi,  Vietnam",1,2721.688,,
"Windhoek,  Namibia",Windhoek, Namibia,"Windhoek, Khomas, Namibia",-22.5743922,17.0790688,2730.648,16714.955,1,0,"Windhoek,  Namibia",1,2730.648,,
"Antananarivo,  Madagascar",Antananarivo, Madagascar,"Antananarivo, Analamanga, Province d’Antananarivo, 101, Madagascar",-18.9100122,47.5255809,2808.52,17197.604,1,0,"Antananarivo,  Madagascar",1,2808.52,,
"Gaborone,  Botswana",Gaborone, Botswana,"Gaborone, South-East District, 09267, Botswana",-24.6581357,25.9088474,2830.623,17334.599,1,0,"Gaborone,  Botswana",2,5661.246,,
"Hong Kong Island,  China",Hong Kong Island, China,"Hong Kong Island, Hong Kong, China",22.2793278,114.1628131,2858.408,17506.809,1,0,"Hong Kong Island,  China",1,2858.408,,
"Tokyo,  Japan",Tokyo, Japan,"Tokyo, Japan",35.6828387,139.7594549,2912.416,17841.553,1,0,"Tokyo,  Japan",2,5824.832,,
"Taipei,  Taiwan",Taipei, Taiwan,"Taipei, Taiwan",25.0375198,121.5636796,2924.711,17917.756,1,0,"Taipei,  Taiwan",1,2924.711,,
"Brazil, Brazil",Brazil,Brazil,Brazil,-10.3333333,-53.2,3066.427,18796.116,1,0,"Brazil, Brazil",8,24531.416,,
"Bogota,  Colombia",Bogota, Colombia,"Bogota, Bogota Capital District, Bogotá Distrito Capital, Región Andina, 11001, Colombia",4.6533326,-74.083652,3075.508,18852.404,1,0,"Bogota,  Colombia",3,9226.524,,
"Kuala Lumpur,  Malaysia",Kuala Lumpur, Malaysia,"Kuala Lumpur, Malaysia",3.1516964,101.6942371,3136.39,19229.752,1,0,"Kuala Lumpur,  Malaysia",4,12545.56,,
"Cape Town,  South Africa",Cape Town, South Africa,"Cape Town, City of Cape Town, Western Cape, 8001, South Africa",-33.928992,18.417396,3139.586,19249.555,1,0,"Cape Town,  South Africa",7,21977.102,,
"Mexico City,  Mexico",Mexico City, Mexico,"Mexico City, Mexico",19.4326296,-99.1331785,3172.212,19451.774,1,0,"Mexico City,  Mexico",8,25377.696,,
"Manila,  Philippines",Manila, Philippines,"Manila, Capital District, Metro Manila, Philippines",14.5907332,120.9809674,3218.05,19735.877,1,0,"Manila,  Philippines",8,25744.4,,
"Lima,  Peru",Lima, Peru,"Lima, Province of Lima, Lima Metropolitan Area, Lima, Peru",-12.0621065,-77.0365256,3614.808,22194.991,1,0,"Lima,  Peru",1,3614.808,,
"Autonomous City of Buenos Aires,  Argentina",Autonomous City of Buenos Aires, Argentina,"Autonomous City of Buenos Aires, Comuna 6, Autonomous City of Buenos Aires, Argentina",-34.6075682,-58.4370894,3877.592,23823.731,1,0,"Autonomous City of Buenos Aires,  Argentina",5,19387.96,,
"Santiago,  Chile",Santiago, Chile,"Santiago, Provincia de Santiago, Santiago Metropolitan Region, Chile",-33.4377756,-70.6504502,4074.529,25044.351,1,0,"Santiago,  Chile",28,114086.812,,
"Majuro,  Marshall Islands",Majuro, Marshall Islands,"Majuro, Marshall Islands",7.0909924,171.3816354,4250.206,26133.203,1,0,"Majuro,  Marshall Islands",1,4250.206,,
"Canberra,  Australia",Canberra, Australia,"Canberra, District of Canberra Central, Australian Capital Territory, 2601, Australia",-35.2975906,149.1012676,5218.378,32133.949,1,0,"Canberra,  Australia",18,93930.804,,
,,,,,,,,,,,516,,,
